date,market,product,total_qty,total_amount,avg_price
2024-01-05,garak,토마토,114782.5,405977800,3536.9
2024-01-05,garak,파프리카,71638.0,331433000,4626.5
2024-01-05,garak,포도,76608.0,597235620,7796.0
2024-01-05,national,감귤,1737278.8,5393236810,3104.4
2024-01-05,national,감자,754794.0,1300227596,1722.6
2024-01-05,national,깻잎,63867.7,721904736,11303.1
2024-01-05,national,당근,398187.0,349930912,878.8
2024-01-05,national,대파,884914.7,2571455415,2905.9
2024-01-05,national,딸기,389809.0,5059299810,12978.9
2024-01-05,national,마늘,90741.5,458134016,5048.8
2024-01-05,national,무,1673708.7,703834628,420.5
2024-01-05,national,배추,991365.7,601436281,606.7
2024-01-05,national,사과,974048.8,4531722800,4652.5
2024-01-05,national,상추,183476.8,833226936,4541.3
2024-01-05,national,시금치,302615.1,986388726,3259.5
2024-01-05,national,양배추,757945.8,364261707,480.6
2024-01-05,national,양파,1721655.5,1844275477,1071.2
2024-01-05,national,오이,362776.0,1646427850,4538.4
2024-01-05,national,토마토,221762.0,806686880,3637.6
2024-01-05,national,파프리카,138487.4,686765634,4959.0
2024-01-05,national,포도,196426.7,1512293620,7699.0
2024-01-06,daejeon,감귤,119528.5,403202600,3373.3
2024-01-06,daejeon,감자,23260.0,47698300,2050.7
2024-01-06,daejeon,깻잎,4124.1,57600420,13966.8
2024-01-06,daejeon,당근,20080.0,20650100,1028.4
2024-01-06,daejeon,대파,71976.0,238202320,3309.5
2024-01-06,daejeon,딸기,31612.0,398378700,12602.1
2024-01-06,daejeon,마늘,11782.0,51763360,4393.4
2024-01-06,daejeon,무,82721.0,33012140,399.1
2024-01-06,daejeon,배추,57985.5,32246801,556.1
2024-01-06,daejeon,사과,24785.0,123614100,4987.5
2024-01-06,daejeon,상추,14109.0,67652185,4795.0
2024-01-06,daejeon,시금치,23658.9,77916653,3293.3
2024-01-06,daejeon,양배추,80504.0,33847907,420.5
2024-01-06,daejeon,양파,198413.0,216376500,1090.5
2024-01-06,daejeon,오이,9888.0,44536490,4504.1
2024-01-06,daejeon,토마토,14075.0,47737500,3391.7
2024-01-06,daejeon,파프리카,4735.0,26813430,5662.8
2024-01-06,daejeon,포도,13411.8,106509000,7941.4
2024-01-06,garak,감귤,332468.0,1210442800,3640.8
2024-01-06,garak,감자,217100.0,361532500,1665.3
2024-01-06,garak,깻잎,32944.5,347397875,10544.9
2024-01-06,garak,당근,123238.0,108021100,876.5
2024-01-06,garak,대파,469678.0,1290929700,2748.5
2024-01-06,garak,딸기,182210.6,2383718500,13082.2
2024-01-06,garak,마늘,16905.0,82122040,4857.9
2024-01-06,garak,무,672878.0,265236600,394.2
